#
#   VizieR Astronomical Server webviz.u-strasbg.fr
#    Date: 2017-10-23T21:20:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VOTx36584	
#INFO	-out.max=unlimited	
#INFO	queryParameters=6	
#-oc.form=D.
#-source=USNO-B1
#-c.ra=314.975125
#-c.dec=7.280722
#-c.bm=22.0000000/22.0000000
#-out.max=unlimited
#
#INFO	-c=314.975125+07.280722,bm=22.000000/22.	
#

#RESOURCE=yCat_1284
#Name: I/284
#Title: The USNO-B1.0 Catalog (Monet+ 2003)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_284_out:
#Name: I/284/out
#Title: The Whole-Sky USNO-B1.0 Catalog of 1,045,913,669 sources
#Column	USNO-B1.0	(a12)	Designation of the object (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(I3)	Mean error on RAdeg*cos(DEdeg) at Epoch	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(I3)	Mean error on DEdeg at Epoch	[ucd=stat.error;pos.eq.dec]
#Column	Epoch	(F6.1)	Mean epoch of observation (2)	[ucd=time.epoch;obs]
#Column	pmRA	(I6)	Proper motion in RA (relative to YS4.0)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I6)	Proper motion in DE (relative to YS4.0)	[ucd=pos.pm;pos.eq.dec]
#Column	Ndet	(I1)	[0,5] Number of detections (7)	[ucd=meta.number]
#Column	B1mag	(F5.2)	? First blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R1mag	(F5.2)	? First red magnitude	[ucd=phot.mag;em.opt.R]
#Column	B2mag	(F5.2)	? Second blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R2mag	(F5.2)	? Second red magnitude	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	? Infrared (N) magnitude	[ucd=phot.mag;em.opt.I]
USNO-B1.0	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Epoch	pmRA	pmDE	Ndet	B1mag	R1mag	B2mag	R2mag	Imag
0972-0685163	314.897581	+07.282942	239	298	1978.3	     0	     0	3	20.72	     	20.65	20.88	
0972-0685164	314.898756	+07.285364	179	 44	1976.0	    -2	    10	5	17.42	15.35	16.40	15.09	14.44
0972-0685165	314.899650	+07.208350	 60	 66	1976.0	     0	     0	5	19.67	18.55	19.01	18.16	18.00
0972-0685166	314.899687	+07.219978	376	999	1991.1	     0	     0	2	     	     	     	20.72	18.95
0972-0685167	314.900848	+07.246756	187	170	1981.6	     0	     0	4	     	19.40	20.89	19.13	17.57
0972-0685168	314.900895	+07.225828	128	 65	1972.1	     0	     0	2	     	20.03	20.94	     	
0972-0685169	314.901153	+07.225684	243	131	1982.4	     0	     0	4	     	20.02	20.97	19.95	18.55
0972-0685170	314.902020	+07.205253	108	 78	1976.6	     0	     0	5	18.24	17.08	17.76	16.47	16.43
0972-0685171	314.903000	+07.265553	158	 45	1976.0	     0	     0	5	20.42	19.64	20.42	19.01	18.94
0972-0685172	314.903348	+07.238100	 89	 80	1976.0	     0	     0	5	20.72	19.61	20.24	19.09	18.62
0972-0685173	314.903662	+07.254125	227	 73	1976.0	     0	     0	5	20.65	18.97	20.69	18.73	18.20
0972-0685174	314.905256	+07.208548	334	460	1978.3	     0	     0	3	     	19.88	21.04	20.53	
0972-0685175	314.905978	+07.240848	196	 88	1976.0	   -22	    -2	5	20.72	19.38	20.16	18.69	18.32
0972-0685176	314.905998	+07.269217	 69	 40	1976.0	     0	     0	5	17.93	16.72	16.95	16.38	16.27
0972-0685177	314.906898	+07.296981	208	 19	1991.1	     0	     0	2	     	     	     	20.70	19.04
0972-0685178	314.907189	+07.275703	530	150	1991.1	     0	     0	2	     	     	     	20.00	19.24
0972-0685179	314.907734	+07.287564	999	217	1977.3	  -326	    66	3	     	20.05	21.34	20.50	
0972-0685180	314.908139	+07.230075	194	 22	1976.0	   -10	     6	5	20.05	18.60	19.90	18.08	18.03
0972-0685181	314.908278	+07.290645	 39	198	1976.0	   -18	    -6	5	19.99	18.42	19.33	17.88	17.57
0972-0685182	314.909739	+07.227256	114	374	1974.2	     0	     0	2	20.69	     	     	     	19.21
0972-0685183	314.909759	+07.268778	 53	312	1976.0	     0	     0	5	20.73	19.32	20.76	19.40	18.80
0972-0685184	314.910131	+07.226914	187	115	1971.4	     0	     0	4	20.49	19.91	20.85	19.68	
0972-0685185	314.910170	+07.217642	520	 68	1979.3	    18	   -34	3	20.45	     	21.05	20.10	
0972-0685186	314.910373	+07.226770	272	289	1973.6	     0	     0	2	20.70	     	20.72	     	
0972-0685187	314.911814	+07.224003	 89	 44	1991.1	     0	     0	2	     	     	     	20.24	18.97
0972-0685188	314.912217	+07.278148	 90	 22	1978.7	   -14	     4	3	     	19.58	     	20.44	18.72
0972-0685189	314.912631	+07.282003	 59	 54	1981.6	     0	     0	4	20.56	     	20.41	19.76	19.01
0972-0685190	314.912984	+07.275181	122	 28	1976.0	     2	    12	5	16.19	14.40	15.23	14.30	13.65
0972-0685191	314.913856	+07.246162	 63	 31	1981.6	     0	     0	4	     	19.01	20.99	18.65	17.97
0972-0685192	314.913942	+07.242775	999	773	1981.6	  -452	  -212	4	     	19.37	21.05	19.83	19.06
0972-0685193	314.914564	+07.259914	 72	 79	1976.0	     0	     0	5	16.10	14.68	15.33	14.40	13.83
0972-0685194	314.915337	+07.269950	 84	145	1981.6	   -18	    -8	4	     	19.42	21.17	19.32	18.14
0972-0685195	314.915664	+07.232820	257	208	1990.9	     0	     0	3	     	     	20.63	20.35	19.19
0972-0685196	314.916017	+07.299350	 78	 86	1976.0	     0	     0	5	20.42	19.60	20.34	19.85	19.22
0972-0685197	314.916392	+07.259389	892	707	1978.3	  -220	   308	3	     	19.57	20.85	19.98	
0972-0685198	314.916739	+07.210795	103	169	1976.0	   -16	   -14	5	20.71	19.14	20.28	18.65	18.35
0972-0685199	314.917009	+07.247131	 81	 41	1976.0	    -8	    -4	5	16.42	14.13	15.34	14.02	13.09
0972-0685200	314.917670	+07.220317	 64	 85	1976.0	     0	     0	5	17.48	15.92	16.61	15.62	15.14
0972-0685201	314.918284	+07.255306	 79	 46	1976.0	     0	     0	5	18.28	16.82	17.43	16.69	16.43
0972-0685202	314.919637	+07.289314	108	 83	1976.0	     0	     0	5	19.44	17.75	18.14	17.12	17.19
0972-0685203	314.920303	+07.281242	 68	 71	1976.0	     0	     0	5	17.94	16.02	16.75	15.56	14.97
0972-0685204	314.920506	+07.200495	999	999	1992.0	     0	     0	2	     	     	21.08	20.03	
0972-0685205	314.920656	+07.237378	 44	 49	1976.0	     0	     0	5	19.17	18.41	18.20	17.62	17.87
0972-0685206	314.921189	+07.226037	 46	  5	1976.0	    -4	    -4	5	19.37	18.32	18.37	17.83	18.08
0972-0685207	314.921539	+07.201556	 74	 41	1976.0	    -8	     0	5	18.40	17.07	17.41	16.48	16.37
0972-0685208	314.921825	+07.298970	 75	 33	1976.0	     0	     0	5	20.45	19.02	20.13	18.98	18.72
0972-0685209	314.923100	+07.232117	204	131	1982.4	     0	     0	4	     	19.86	20.67	19.70	18.97
0972-0685210	314.923303	+07.247167	 73	 34	1976.0	   -12	    -8	5	18.03	16.74	17.07	16.26	16.12
0972-0685211	314.923367	+07.259481	 58	154	1976.0	    12	    10	5	13.95	12.39	13.30	12.60	11.64
0972-0685212	314.923889	+07.234620	133	182	1990.9	     0	     0	3	     	     	21.67	20.18	19.24
0972-0685213	314.923967	+07.229912	138	 70	1981.6	     0	     0	4	20.27	     	20.55	19.76	19.22
0972-0685214	314.924975	+07.241059	 49	101	1976.0	    -8	    -8	5	19.45	18.35	18.22	17.69	18.04
0972-0685215	314.925223	+07.226631	 49	179	1991.1	     0	     0	2	     	     	     	20.41	18.57
0972-0685216	314.925998	+07.259292	999	169	1979.6	   214	  -116	3	     	16.85	20.58	     	19.02
0972-0685217	314.926670	+07.292648	 41	 88	1976.0	    -4	     2	5	16.61	14.75	15.84	14.80	13.91
0972-0685218	314.927728	+07.257253	 60	266	1978.7	   -54	    16	3	     	19.90	     	20.09	18.64
0972-0685219	314.928506	+07.210231	 39	 26	1976.0	     0	     0	5	17.34	15.76	16.42	15.24	14.84
0972-0685220	314.928745	+07.204912	 93	 91	1976.0	     0	     0	5	20.60	19.68	20.18	19.53	18.70
0972-0685221	314.928792	+07.290114	120	 20	1976.0	     2	    12	5	19.31	16.81	17.73	16.19	15.41
0972-0685222	314.929125	+07.217728	 68	111	1976.0	    14	   -10	5	18.93	17.34	17.99	16.72	16.47
0972-0685223	314.929487	+07.234670	 38	109	1976.0	   -10	    -6	5	18.62	17.30	17.85	16.82	16.86
0972-0685224	314.930453	+07.271034	117	197	1981.6	     0	     0	4	     	19.30	20.89	18.78	17.88
0972-0685225	314.931017	+07.249650	 66	113	1976.0	     0	     0	5	19.58	18.61	18.31	17.77	18.15
0972-0685226	314.932225	+07.250923	172	188	1976.0	   -18	    -8	5	19.96	18.80	17.78	17.42	18.20
0972-0685227	314.932237	+07.292467	126	103	1976.0	     0	     0	5	19.63	18.73	18.18	17.79	17.54
0972-0685228	314.932637	+07.259259	133	195	1990.6	     0	     0	2	     	     	20.94	20.27	
0972-0685229	314.933248	+07.254853	  0	  0	2000.0	    -8	     0	0	12.13	11.73	11.99	11.71	11.59
0972-0685230	314.934228	+07.267064	540	105	1982.4	     0	     0	4	     	19.87	21.05	20.29	18.98
0972-0685231	314.934364	+07.215848	158	 57	1981.6	     0	     0	4	     	19.84	21.40	20.23	19.22
0972-0685232	314.934389	+07.294423	337	192	1976.6	     0	     0	5	20.47	18.45	18.87	18.99	18.41
0972-0685233	314.934584	+07.239225	999	999	1981.6	  -284	  -236	4	20.69	     	21.38	20.32	19.02
0972-0685234	314.934773	+07.294353	233	130	1990.6	     0	     0	2	     	     	18.68	17.83	
0972-0685235	314.935042	+07.235028	 80	 36	1976.0	   -14	    -4	5	20.37	18.06	19.65	17.43	17.06
0972-0685236	314.935384	+07.222978	 85	111	1981.6	   -12	    -4	4	     	19.64	21.00	19.12	18.67
0972-0685237	314.935592	+07.209403	 86	112	1976.0	     0	     0	5	20.06	17.60	19.02	17.44	17.04
0972-0685238	314.935825	+07.294467	 64	 78	1976.0	     0	     0	5	17.07	15.27	15.91	14.92	14.13
0972-0685239	314.936923	+07.230237	 69	 96	1976.0	     0	     0	5	20.03	18.79	18.44	18.10	18.47
0972-0685240	314.937228	+07.267267	123	205	1992.6	     0	     0	2	     	     	     	20.10	19.23
0972-0685241	314.938212	+07.253578	396	199	1992.6	     0	     0	2	     	     	     	20.07	19.21
0972-0685242	314.938303	+07.249453	 52	 67	1976.0	    -8	     2	5	19.56	18.80	18.77	18.46	18.08
0972-0685243	314.938367	+07.224342	999	999	1981.6	   232	   428	4	20.73	     	21.28	19.17	18.79
0972-0685244	314.938653	+07.233512	132	 65	1990.9	     0	     0	3	     	     	21.30	19.88	19.06
0972-0685245	314.938825	+07.287517	 38	139	1990.9	     0	     0	3	     	     	21.16	20.21	19.20
0972-0685246	314.939100	+07.250325	 34	169	1973.6	     0	     0	2	20.64	     	20.41	     	
0972-0685247	314.939125	+07.203200	 33	126	1976.0	    -6	   -12	5	20.17	18.24	18.80	17.56	17.44
0972-0685248	314.940623	+07.220978	158	178	1982.4	     0	     0	4	     	19.65	21.02	19.78	18.70
0972-0685249	314.941173	+07.272037	104	 55	1976.0	    14	    16	5	19.99	17.24	18.76	16.77	15.86
0972-0685250	314.941264	+07.267745	999	999	1974.2	     0	     0	2	     	20.04	     	     	18.80
0972-0685251	314.942264	+07.215220	 75	 68	1976.0	     0	     0	5	19.10	17.08	17.83	16.75	16.73
0972-0685252	314.942345	+07.211592	 98	121	1976.0	   -16	    -2	5	20.54	19.67	20.43	19.03	18.78
0972-0685253	314.943367	+07.232089	 82	 78	1976.0	     0	     0	5	19.85	18.87	19.22	18.49	18.55
0972-0685254	314.943942	+07.205175	 58	103	1976.0	     0	     0	5	20.09	19.25	19.51	18.71	18.27
0972-0685255	314.943970	+07.283589	277	 24	1970.7	     0	     0	2	     	20.05	     	20.96	
0972-0685256	314.944159	+07.274687	361	185	1990.9	     0	     0	3	     	     	21.38	20.09	19.19
0972-0685257	314.944364	+07.295870	 29	 41	1976.0	     0	     0	5	17.26	16.00	16.40	15.95	15.58
0972-0685258	314.946800	+07.222075	 81	 92	1976.0	     0	     0	5	20.23	19.48	20.48	19.21	18.95
0972-0685259	314.947017	+07.286864	102	 20	1976.0	     0	     0	5	19.60	17.35	18.48	16.91	16.60
0972-0685260	314.947939	+07.223003	999	114	1990.6	     0	     0	2	     	     	20.39	19.53	
0972-0685261	314.948031	+07.223559	469	483	1982.4	   110	   116	4	     	19.89	20.92	19.19	18.72
0972-0685262	314.948381	+07.258875	148	 65	1991.1	     0	     0	2	     	     	     	20.23	19.24
0972-0685263	314.948545	+07.279992	 63	 49	1976.0	     0	     0	5	15.99	14.53	15.23	14.27	13.72
0972-0685264	314.948964	+07.223078	355	625	1979.7	    68	   -10	3	     	19.92	     	19.79	18.99
0972-0685265	314.949100	+07.250517	 32	 57	1981.6	     0	     0	4	     	19.23	20.61	18.78	18.49
0972-0685266	314.949131	+07.281192	999	675	1974.2	     0	     0	2	     	20.02	     	     	18.85
0972-0685267	314.949406	+07.248650	 84	123	1978.7	   -24	   -18	3	     	20.05	     	20.18	19.09
0972-0685268	314.949437	+07.253692	999	999	1991.9	     0	     0	3	     	     	21.05	20.08	18.62
0972-0685269	314.949606	+07.212000	243	139	1989.0	     0	     0	2	     	     	21.50	20.69	
0972-0685270	314.949950	+07.299642	 41	 51	1976.0	     0	     0	5	15.93	14.36	15.13	14.36	13.72
0972-0685271	314.951625	+07.294859	 86	 67	1976.0	     0	     0	5	20.19	18.94	19.26	18.30	18.25
0972-0685272	314.951778	+07.242853	 74	469	1970.7	     0	     0	2	20.68	     	     	19.60	
0972-0685273	314.952939	+07.244673	 69	 36	1976.0	    -4	   -10	5	15.03	13.56	14.27	13.54	12.74
0972-0685274	314.953398	+07.241728	149	299	1981.6	    -2	   -50	4	     	18.97	20.69	19.79	19.09
0972-0685275	314.953470	+07.229078	215	185	1976.0	     0	     0	5	20.27	19.71	20.51	20.30	19.11
0972-0685276	314.953892	+07.261456	310	213	1977.3	   -38	    32	3	     	19.93	21.06	20.27	
0972-0685277	314.956975	+07.209550	105	106	1976.6	     0	     0	5	20.53	19.98	20.81	19.63	19.24
0972-0685278	314.957067	+07.267253	932	709	1991.1	     0	     0	2	     	     	     	20.74	19.24
0972-0685279	314.957173	+07.201403	 16	 53	1976.0	   -14	    -6	5	15.30	13.55	14.77	13.60	12.86
0972-0685280	314.957453	+07.247978	516	126	1971.4	   -52	    34	4	20.40	18.39	17.94	17.67	
0972-0685281	314.957487	+07.284134	 75	 53	1976.0	     0	     0	5	20.34	19.09	19.68	19.22	18.89
0972-0685282	314.957709	+07.291192	245	165	1981.6	     0	     0	4	     	20.05	21.49	20.14	18.99
0972-0685283	314.957789	+07.294287	 65	237	1976.0	    -8	     2	5	20.19	17.36	18.74	17.08	16.51
0972-0685284	314.957837	+07.225017	165	 75	1976.0	     0	     0	5	20.60	20.03	20.16	19.41	18.94
0972-0685285	314.957931	+07.271431	118	357	1977.3	   -12	   -36	3	20.73	     	21.00	19.84	
0972-0685286	314.958131	+07.247378	 87	266	1978.3	    46	   -62	3	19.46	     	18.83	17.75	
0972-0685287	314.958675	+07.207006	 56	 42	1976.0	     0	     0	5	17.16	15.50	16.31	15.28	14.86
0972-0685288	314.958814	+07.298064	 61	109	1981.6	   -14	    -2	4	     	19.19	20.84	19.00	18.40
0972-0685289	314.959120	+07.214659	 83	 43	1976.0	     0	     0	5	18.76	18.01	18.10	17.46	17.84
0972-0685290	314.959367	+07.285542	 59	  4	1992.6	     0	     0	2	     	     	     	20.07	18.88
0972-0685291	314.960356	+07.218053	 88	 62	1976.0	     0	     0	5	17.96	16.94	17.02	16.47	16.63
0972-0685292	314.960398	+07.233795	 96	 25	1977.3	    -2	     2	3	20.72	     	20.73	20.09	
0972-0685293	314.961056	+07.230923	 67	129	1976.0	     0	     0	5	20.65	19.31	20.56	18.91	18.58
0972-0685294	314.961667	+07.294728	 51	 45	1976.0	     0	     0	5	15.91	14.56	15.14	14.45	13.96
0972-0685295	314.963342	+07.246381	223	 79	1976.0	    -6	   -10	5	19.18	18.35	18.25	17.77	17.67
0972-0685296	314.964437	+07.204175	 67	 73	1976.0	     0	     0	5	20.72	19.19	20.18	19.09	18.64
0972-0685297	314.965334	+07.254725	312	102	1976.0	     0	     0	5	20.57	19.56	19.58	17.87	18.10
0972-0685298	314.965448	+07.279734	 73	 23	1976.0	     0	     0	5	18.83	17.03	17.72	16.51	15.96
0972-0685299	314.965795	+07.241303	135	101	1978.7	   -14	   -12	3	     	20.03	     	20.85	19.15
0972-0685300	314.966125	+07.254584	155	 80	1976.0	     0	     0	5	20.61	18.95	19.84	18.01	18.65
0972-0685301	314.966562	+07.275998	 59	 79	1976.0	     0	     0	5	18.56	17.04	17.81	16.71	16.75
0972-0685302	314.967220	+07.296117	196	169	1977.3	     0	     0	3	     	19.35	19.53	20.11	
0972-0685303	314.967475	+07.209756	 94	 76	1976.0	     0	     0	5	19.46	18.16	18.56	17.89	18.01
0972-0685304	314.967745	+07.296100	322	270	1989.0	     0	     0	2	     	     	18.70	18.34	
0972-0685305	314.967831	+07.295817	999	420	1992.0	     0	     0	2	     	     	19.15	19.88	
0972-0685306	314.968800	+07.296159	912	639	1974.2	     0	     0	2	     	19.57	     	     	18.68
0972-0685307	314.968945	+07.276359	183	132	1981.6	     0	     0	4	     	19.94	21.61	19.97	19.02
0972-0685308	314.970517	+07.242528	 86	 72	1976.0	    -4	   -10	5	18.06	16.86	17.18	16.56	16.31
0972-0685309	314.971984	+07.288253	155	 87	1976.0	     8	    12	5	18.10	16.25	17.21	15.83	15.51
0972-0685310	314.972828	+07.283428	416	624	1991.1	     0	     0	2	     	     	     	20.83	19.17
0972-0685311	314.972856	+07.290895	218	793	1979.3	   -34	   -20	3	     	19.30	19.19	19.38	
0972-0685312	314.972917	+07.295987	  0	  0	2000.0	   -12	   -14	0	11.00	10.21	10.76	10.18	 9.95
0972-0685313	314.973431	+07.220439	119	234	1976.0	   -16	   -12	5	20.70	19.73	20.02	19.39	18.85
0972-0685314	314.973864	+07.230873	342	185	1990.6	     0	     0	2	     	     	21.04	20.49	
0972-0685315	314.974106	+07.276153	  8	290	1979.3	  -398	    86	3	     	18.82	21.05	19.00	
0972-0685316	314.975675	+07.248714	 45	101	1976.0	     0	     0	5	20.31	18.00	19.56	17.50	16.51
0972-0685317	314.978081	+07.219481	982	  7	1991.9	   114	    56	3	     	     	21.09	20.25	18.80
0972-0685318	314.978159	+07.296092	371	311	1977.3	     0	     0	3	20.38	     	19.13	19.57	
0972-0685319	314.978162	+07.226175	110	125	1976.0	   -12	    -4	5	19.58	18.75	18.63	18.16	18.28
0972-0685320	314.978245	+07.210212	219	404	1976.0	    28	   -10	5	20.61	19.46	19.52	18.46	18.04
0972-0685321	314.978637	+07.284450	169	 72	1981.6	   -12	    16	4	     	19.12	21.03	18.89	18.19
0972-0685322	314.979142	+07.252248	 85	204	1981.6	     0	     0	4	     	19.40	21.24	19.62	18.76
0972-0685323	314.979184	+07.257300	 74	107	1976.0	    -8	    -6	5	18.25	16.94	17.27	16.76	16.80
0972-0685324	314.979320	+07.214278	145	 78	1976.0	     0	     0	5	20.27	18.61	20.12	18.01	17.74
0972-0685325	314.979964	+07.266689	 71	 83	1981.6	   -10	     0	4	     	19.78	20.65	19.63	19.12
0972-0685326	314.980295	+07.273250	 64	 75	1976.0	     0	     0	5	20.28	19.40	19.59	18.69	18.76
0972-0685327	314.980878	+07.223898	 79	401	1976.0	   -12	    16	5	20.39	18.96	20.50	18.73	17.77
0972-0685328	314.981984	+07.264881	 82	 94	1981.6	    20	   -18	4	20.73	     	21.24	19.98	19.07
0972-0685329	314.982414	+07.214525	 92	 80	1976.0	    16	     6	5	19.62	17.14	18.85	16.79	15.66
0972-0685330	314.983303	+07.231112	999	999	1978.7	  -342	   228	3	     	18.81	     	20.35	18.05
0972-0685331	314.983895	+07.295578	495	360	1990.6	     0	     0	2	     	     	20.20	20.46	
0972-0685332	314.984695	+07.269881	170	357	1981.6	     0	     0	4	     	19.38	20.32	18.51	18.90
0972-0685333	314.985045	+07.297720	 26	 91	1976.0	    -8	   -10	5	18.34	16.95	17.34	16.46	16.58
0972-0685334	314.985098	+07.268392	 73	 73	1976.0	     0	     0	5	17.28	15.78	16.34	15.51	15.12
0972-0685335	314.985420	+07.273928	 97	 27	1976.0	    -8	    -6	5	18.85	17.37	17.98	16.74	16.60
0972-0685336	314.986050	+07.239106	106	 70	1976.0	     0	     0	5	19.81	18.75	18.83	17.89	18.16
0972-0685337	314.987481	+07.207734	 29	176	1979.3	   -60	   170	3	20.69	     	20.63	19.91	
0972-0685338	314.987834	+07.226325	 50	 84	1976.0	     0	     0	5	15.61	13.36	14.74	13.32	12.19
0972-0685339	314.988495	+07.252795	109	205	1991.1	     0	     0	2	     	     	     	20.96	18.90
0972-0685340	314.989870	+07.218745	215	138	1981.6	     0	     0	4	     	19.76	21.62	19.34	18.83
0972-0685341	314.990253	+07.234789	312	145	1989.0	     0	     0	2	     	     	20.87	20.39	
0972-0685342	314.990331	+07.260753	118	 73	1976.0	   -12	    -6	5	17.54	16.36	16.71	15.88	15.57
0972-0685343	314.991678	+07.275306	 19	103	1976.0	     6	    -2	5	16.80	14.96	15.86	14.65	14.13
0972-0685344	314.992798	+07.261325	 81	 51	1976.0	     0	     0	5	19.47	18.50	18.38	17.98	17.57
0972-0685345	314.993003	+07.223223	401	188	1992.9	     0	     0	3	     	     	21.02	20.07	19.08
0972-0685346	314.993834	+07.234367	107	 84	1981.6	     0	     0	4	     	18.88	20.87	18.68	17.83
0972-0685347	314.995012	+07.209989	 66	119	1976.0	     0	     0	5	20.47	18.52	19.75	18.02	17.82
0972-0685348	314.995992	+07.203114	182	169	1991.9	     0	     0	3	     	     	20.36	19.82	18.80
0972-0685349	314.996795	+07.274112	999	999	1974.2	     0	     0	2	     	19.10	     	     	18.55
0972-0685350	314.997156	+07.271398	 32	 70	1976.0	     0	     0	5	15.21	13.49	14.34	13.31	12.38
0972-0685351	314.997775	+07.216039	999	999	1978.3	  -366	   450	3	20.24	     	21.09	20.96	
0972-0685352	314.997859	+07.237798	183	 70	1992.6	     0	     0	2	     	     	     	20.09	19.24
0972-0685353	314.997964	+07.229720	 62	110	1976.0	     0	     0	5	19.54	18.77	18.88	18.69	18.63
0972-0685354	314.998345	+07.249125	 30	 80	1976.0	     0	     0	5	19.14	17.61	18.11	17.12	16.94
0972-0685355	314.998712	+07.214887	 59	224	1990.6	     0	     0	2	     	     	21.09	20.96	
0972-0685356	314.998931	+07.277800	111	 77	1981.6	     0	     0	4	     	19.84	21.31	19.89	18.56
0972-0685357	314.999798	+07.265487	 40	 49	1976.0	    -6	    -2	5	19.38	18.49	18.48	17.69	18.03
0972-0685358	314.999839	+07.273895	381	118	1978.3	     0	     0	3	     	20.00	20.98	19.77	
0972-0685359	314.999948	+07.255787	 61	 44	1976.0	     0	     0	5	20.00	19.04	19.39	18.07	18.08
0972-0685360	314.999962	+07.204453	401	110	1972.1	     0	     0	2	20.72	     	21.16	     	
0972-0685361	315.001139	+07.245745	 72	 36	1981.6	     0	     0	4	     	20.05	21.29	20.48	19.16
0972-0685362	315.001400	+07.213559	 57	 91	1976.0	     0	     0	5	16.48	14.94	15.50	14.78	14.29
0972-0685363	315.001734	+07.243542	172	121	1981.6	     0	     0	4	     	19.75	20.80	19.92	19.18
0972-0685364	315.001928	+07.211062	999	999	1972.1	     0	     0	2	20.24	     	21.71	     	
0972-0685365	315.002398	+07.207678	137	 89	1976.0	   -18	    -2	5	18.98	17.43	18.17	17.01	16.69
0972-0685366	315.003681	+07.268225	175	213	1991.9	     0	     0	3	     	     	20.81	20.23	19.08
0972-0685367	315.003742	+07.297225	 81	144	1976.0	     0	     0	5	20.72	19.91	21.32	19.87	19.21
0972-0685368	315.004664	+07.251403	 81	 43	1976.0	     0	     0	5	17.53	16.47	16.76	16.03	15.83
0972-0685369	315.004789	+07.209023	 98	 74	1981.6	     4	    10	4	     	19.84	20.97	20.13	19.03
0972-0685370	315.005123	+07.254964	266	120	1976.0	     0	     0	5	20.45	20.05	20.97	20.31	19.22
0972-0685371	315.005592	+07.278356	 95	 48	1981.6	    -8	     6	4	     	19.09	20.69	19.03	18.46
0972-0685372	315.005839	+07.245417	196	180	1976.0	   -10	   -26	5	20.59	18.48	19.82	17.48	16.64
0972-0685373	315.006256	+07.227087	 54	283	1979.7	   -32	    74	3	20.73	     	     	20.09	19.17
0972-0685374	315.006328	+07.221745	 58	 39	1976.0	     8	     0	5	19.52	17.20	18.21	16.81	16.43
0972-0685375	315.007400	+07.278231	999	999	1972.2	     0	     0	2	     	19.63	     	20.01	
0972-0685376	315.007875	+07.231595	414	347	1978.3	     0	     0	3	     	19.66	21.00	20.69	
0972-0685377	315.007912	+07.276731	999	999	1990.6	     0	     0	2	     	     	21.03	20.35	
0972-0685378	315.008114	+07.298039	273	 74	1976.0	     2	   -10	5	20.40	19.05	19.71	19.17	18.86
0972-0685379	315.008239	+07.277598	337	 55	1991.1	     0	     0	2	     	     	     	20.35	19.10
0972-0685380	315.008409	+07.277434	300	106	1979.7	   134	  -106	3	     	19.63	     	20.01	19.10
0972-0685381	315.008445	+07.270512	 83	112	1976.0	     0	     0	5	20.33	18.18	19.02	17.70	17.37
0972-0685382	315.009523	+07.228212	285	131	1979.7	     6	   -32	3	     	20.05	     	20.07	19.23
0972-0685383	315.009634	+07.210945	 45	 79	1976.0	     0	     0	5	20.04	19.30	19.62	18.58	18.30
0972-0685384	315.009887	+07.273231	119	 49	1989.0	     0	     0	2	     	     	20.91	20.67	
0972-0685385	315.010117	+07.242998	 52	237	1978.7	   -24	    10	3	     	19.89	     	20.88	19.13
0972-0685386	315.010412	+07.218550	362	123	1992.9	     0	     0	3	     	     	21.09	19.93	18.77
0972-0685387	315.010425	+07.285792	 45	 89	1976.0	   -10	   -14	5	17.30	15.79	16.24	15.35	14.96
0972-0685388	315.011320	+07.234648	 69	 14	1991.1	     0	     0	2	     	     	     	20.37	19.23
0972-0685389	315.011631	+07.287848	 99	163	1976.0	     0	     0	5	18.67	16.67	17.44	15.95	15.86
0972-0685390	315.011714	+07.266473	186	 48	1981.6	     0	     0	4	     	19.93	21.10	19.40	19.07
0972-0685391	315.012228	+07.208614	104	  0	1991.1	     0	     0	2	     	     	     	20.77	19.24
0972-0685392	315.013039	+07.277387	228	 59	1992.6	     0	     0	2	     	     	     	20.09	19.16
0972-0685393	315.013253	+07.210273	128	173	1976.0	     0	     0	5	20.62	19.09	20.58	18.61	17.60
0972-0685394	315.013342	+07.239856	 42	 82	1976.0	     0	     0	5	19.14	17.93	17.89	17.39	17.71
0972-0685395	315.015025	+07.250917	142	 36	1976.0	     0	     0	5	20.31	19.45	19.56	19.42	19.15
0972-0685396	315.016114	+07.213770	133	494	1977.3	     0	     0	3	     	19.80	21.37	20.50	
0972-0685397	315.016931	+07.216978	999	 43	1978.7	  -350	    42	3	20.66	     	     	20.33	19.01
